#{"t_start": 1783876858.8035107, "env_id": "None"}
r,l,t
-59.283543,202,2087.965781
-123.297859,256,2093.287672
103.565782,105,2098.347121
-83.224097,220,2102.544048
100.297183,103,2105.113561
-61.407462,250,2109.858728
80.882437,151,2113.028234
-46.717729,209,2117.159379
81.563942,140,2120.285045
-204.236958,275,2126.361356
-117.164745,261,2133.365199
-102.029538,196,2137.582651
-25.697195,179,2141.169422
-200.609679,9,2141.345764
-115.544733,224,2145.683707
-185.563345,309,2154.206244
96.334264,108,2157.025167
98.662643,110,2159.741607
-79.17772,191,2163.487093
-170.777561,257,2169.108999
-35.624091,201,2173.381369
-63.755134,183,2177.141411
92.676764,123,2179.666612
-429.252147,248,2185.092234
-56.070066,193,2188.897656
89.909926,120,2191.205003
76.941029,151,2194.182216
-76.618923,225,2199.595177
-338.279699,304,2206.353008
-203.417728,12,2206.604683
-133.472976,238,2212.460538
-174.019744,283,2217.703425
-77.392914,175,2220.932494
111.120311,102,2222.827954
-62.131949,208,2226.744577
-63.747547,213,2230.656067
-86.520251,211,2234.552181
-161.475036,267,2240.698006
-105.894988,234,2245.514423
-108.705651,187,2249.20527
85.636928,142,2251.844601
-65.078003,197,2255.469461
-236.720207,115,2257.599772
-103.747254,219,2261.664726
-89.301494,227,2265.859258
-176.38525,296,2273.527816
87.778463,139,2276.199201
98.013109,105,2283.635932
-145.120151,280,2291.673613
85.637835,148,2294.579184
-74.318372,205,2298.482737
-61.068842,211,2305.184693
-235.848549,320,2311.721838
-201.044623,274,2320.509453
-173.180157,304,2339.401736
-62.805627,186,2344.305472
-110.205318,273,2349.934903
106.50957,110,2352.225772
-120.430207,227,2357.143
-77.466727,220,2361.896255
97.305532,110,2364.02633
-112.979585,217,2368.413692
94.892721,111,2370.562609
101.167148,107,2372.697139
-133.07231,222,2376.933892
-181.720255,270,2382.228241
79.65332,148,2385.017881
-56.075739,209,2390.574878
-55.201353,224,2395.735131
-90.188151,266,2401.081987
-132.107396,219,2405.768113
91.363382,116,2408.418736
92.018751,122,2410.833179
69.312118,157,2413.946454
-76.278349,217,2418.170275
-50.665577,196,2422.628061
-132.250959,250,2427.392761
93.205622,116,2429.644949
-63.8212,220,2433.854129
-119.950502,318,2439.779476
-250.367239,166,2442.897357
-23.701812,177,2446.403666
-137.153202,256,2451.558584
-110.174297,226,2455.993393
-237.537309,133,2458.621617
-49.41592,214,2463.087617
-250.051431,130,2465.6055
-64.276474,236,2470.330768
-136.877879,268,2475.360835
105.829203,103,2477.27397
-56.961414,200,2481.358236
97.175194,106,2483.330612
-262.103557,228,2487.559871
-88.287979,233,2491.951911
97.127538,105,2493.912441
-75.937011,242,2498.435811
-241.278904,139,2501.008577
-219.656687,122,2503.275963
-21.436422,175,2506.514066
-146.966617,243,2511.509022
-28.299245,198,2515.199851
-74.219729,199,2518.954476
-74.702082,232,2523.799776
107.965253,107,2525.92948
-300.739255,218,2530.270701
98.658631,105,2532.27274
-167.552669,245,2540.172506
-66.466321,173,2543.747877
-37.717079,187,2547.31335
-127.0981,202,2551.131934
-141.186991,263,2555.965186
-154.592935,230,2560.239163
-137.718121,281,2565.578028
-91.484433,229,2570.540696
-208.944374,279,2576.169643
-14.61373,171,2579.44903
105.144086,105,2581.413743
-79.519319,199,2585.125824
100.741049,103,2587.020359
-76.240427,219,2591.132658
-111.4603,255,2595.933882
-116.23293,217,2600.600411
-140.192023,203,2604.748615
-130.962625,278,2610.097879
-184.555584,315,2616.300171
94.606996,117,2618.474731
84.679514,149,2621.236262
-138.668885,277,2626.67709
-116.236131,288,2632.426505
-43.47027,218,2636.48221
-353.380541,215,2640.54105
-69.640409,215,2644.724011
-224.761102,119,2646.969623
101.401452,103,2648.917909
95.552463,110,2650.973976
105.372371,111,2653.110171
-1.177263,152,2656.153773
87.743315,145,2658.980509
-172.18048,255,2664.583437
-88.369726,224,2669.177832
-238.989396,320,2675.201555
-26.400225,167,2678.333148
-130.645371,225,2682.553867
-66.331102,210,2686.470782
-129.386617,221,2690.834379
104.810625,104,2692.847312
98.70194,117,2695.054484
-92.099164,253,2699.756919
-153.978584,279,2705.007992
-174.979522,252,2709.782198
98.474884,127,2712.231147
-155.076035,268,2717.230446
-54.552087,226,2721.738837
-94.18533,254,2726.486179
96.952995,123,2728.78052
-148.557991,268,2736.042373
98.691002,104,2737.983281
89.267415,133,2740.466481
-74.748252,194,2744.090783
87.150664,141,2746.740115
-182.894969,238,2751.519353
-143.585627,258,2756.4528
-2.471307,159,2759.398875
91.554401,139,2761.970016
-53.44806,235,2766.436018
-165.314241,278,2771.700659
-132.445978,244,2776.273947
-110.234644,258,2781.752482
-97.617201,232,2786.147064
-193.650067,272,2791.267303
-90.202169,219,2795.39651
-128.92557,207,2799.305311
-134.647208,214,2803.327793
-136.286187,233,2807.783777
-80.173801,227,2812.319059
-188.115363,262,2817.212632
-262.417509,222,2821.357245
-78.8611,168,2824.486505
91.633615,131,2826.933399
-52.24814,259,2831.807575
88.364762,141,2834.38327
-120.589768,229,2838.62906
-257.139616,111,2840.951913
-78.476042,182,2844.396068
-84.086236,199,2848.103974
-245.271985,320,2854.064858
1.039216,184,2857.459249
-232.368886,125,2859.782509
-64.670147,230,2864.099684
-177.901929,258,2868.910135
-98.194886,219,2873.32181
-126.771673,265,2878.243418
-85.625688,211,2882.34262
-133.168518,252,2887.065619
-91.747232,225,2891.281934
102.433477,105,2893.25705
-55.65764,208,2897.12049
-126.733512,248,2902.091111
-75.331325,186,2905.577498
-57.552221,235,2909.980213
-99.79956,264,2914.942081
-66.712772,220,2919.015965
-245.86241,320,2927.235365
-46.252841,209,2931.474538
-89.037094,283,2936.761847
94.214293,125,2939.121208
-144.396487,242,2943.628072
-70.375006,189,2947.255638
-122.23718,250,2952.111933
-52.646366,207,2956.051357
-64.885961,243,2960.795271
-87.91235,215,2964.943554
-109.007679,249,2969.532223
