#{"t_start": 1783930416.1586635, "env_id": "None"}
r,l,t
-6.387275,139,1114.641975
57.405675,116,1115.98252
-241.525587,239,1118.714105
-241.645735,222,1121.242359
-340.80423,278,1124.426859
34.638594,124,1125.853547
-279.28554,239,1128.930326
67.53957,104,1130.166083
-550.430331,320,1133.87205
-467.900871,299,1137.479699
-373.591276,309,1141.017318
-366.806923,273,1144.152257
-1218.786637,200,1146.448834
-191.271415,213,1148.868004
-169.442963,208,1151.239507
-239.337327,216,1153.708697
81.921519,102,1154.873289
-347.875622,264,1157.889253
-309.298326,241,1160.655949
-259.005338,255,1163.554756
-320.728473,246,1166.524368
59.818825,123,1167.988003
-210.780328,244,1170.769795
68.842482,114,1172.076782
-234.687028,221,1174.612979
-129.573979,188,1176.794995
-266.584522,243,1179.565569
-129.718406,187,1181.715124
64.342913,119,1183.063561
-262.587803,234,1185.752029
-298.48732,266,1188.772769
49.151786,129,1190.24724
-333.830342,280,1193.554697
-176.636764,196,1195.813073
-243.005127,234,1198.828962
-252.554169,260,1204.313072
-288.639621,261,1207.416606
-193.122459,194,1209.625416
-200.518482,233,1212.301709
-321.468069,278,1215.473481
-273.242137,231,1218.110015
-2.660636,138,1219.725226
-402.220687,303,1223.168779
-280.592235,266,1226.334092
67.42349,110,1227.673026
-381.212705,306,1231.295678
-243.063241,248,1234.138607
-354.933951,303,1237.649272
-291.369603,253,1240.65744
-238.329266,247,1243.485221
6.832503,143,1245.106031
-167.807322,205,1247.452452
-350.655762,300,1250.924633
-195.134733,238,1253.631755
-12.599657,155,1255.4219
-283.908435,250,1258.55492
4.394034,149,1260.25514
6.732747,144,1261.901424
-0.789887,151,1263.635813
-264.576258,238,1266.381697
-0.498072,137,1267.946889
55.539863,112,1269.21609
-211.570083,205,1271.578383
-247.853879,235,1274.255695
-246.269814,229,1276.881227
-222.068398,233,1279.521921
47.368953,126,1280.972999
-271.832819,246,1283.797027
-304.442244,312,1287.638845
-168.069609,220,1290.181754
-421.775489,282,1293.415506
-268.864397,268,1296.62396
-258.811635,255,1299.554813
-148.783775,200,1301.857692
-302.50086,252,1304.730208
-260.341973,244,1307.672955
-409.819482,303,1311.250968
-246.30002,231,1313.895841
-277.790107,237,1316.968501
-300.406559,278,1320.161887
50.695053,124,1323.358224
