#{"t_start": 1784298491.3952901, "env_id": "None"}
r,l,t
-38.733965,224,3441.727635
-79.850084,254,3447.456938
-56.826895,216,3455.74522
-98.930435,266,3462.098688
-48.187152,193,3466.263243
-29.564301,197,3470.960284
77.601284,114,3473.295197
68.048197,143,3476.311645
-121.000894,221,3480.948525
-70.722711,263,3486.431941
-140.477549,229,3491.604031
10.552478,190,3495.591418
-162.944505,244,3500.718457
-53.889397,230,3505.515957
-19.10467,202,3509.815504
75.573132,111,3512.104207
71.124319,112,3514.417321
-60.659131,216,3519.372054
-168.267287,250,3524.588813
-143.347993,227,3529.42665
-125.85119,179,3533.191983
-34.190395,213,3537.844349
-25.180778,220,3542.650578
-69.320187,215,3547.393534
-36.458182,203,3551.773919
-99.912067,228,3556.601999
-201.041894,240,3561.652786
-136.467059,177,3565.322712
-161.769298,228,3570.11638
-21.421586,218,3574.647918
62.386016,146,3577.998171
-48.799134,219,3583.051984
-82.849479,257,3588.430226
76.386535,110,3590.71982
92.486191,106,3592.888451
30.021066,167,3596.37758
89.361016,106,3598.519714
49.591665,168,3602.034009
-161.15555,204,3606.542513
-9.090136,226,3611.978859
-75.073346,257,3617.367525
-41.126732,223,3621.998185
64.522997,143,3624.88789
66.167609,132,3627.868266
-121.541853,255,3633.243807
-176.186648,225,3638.416957
-76.029681,248,3643.730574
-16.94124,199,3647.947558
-89.414539,230,3652.769225
-94.847555,270,3658.405335
-56.691791,255,3663.728838
-137.522696,194,3668.151962
69.958928,117,3674.544967
-13.177086,185,3678.887952
-109.638903,277,3684.800937
-136.128203,307,3691.374215
-131.151789,251,3696.721956
-77.301972,292,3703.211864
-136.162709,280,3709.135521
70.563549,126,3711.713225
-17.356222,180,3715.48054
-145.686709,275,3721.190291
-41.021485,200,3725.435368
-175.082314,199,3730.193724
77.473379,124,3732.72682
69.534395,129,3735.368567
56.07091,159,3738.669996
62.045584,153,3741.827191
-166.895152,257,3747.327445
-3.512174,210,3752.085661
-226.075066,320,3759.644247
-79.453815,196,3763.854469
-154.449806,214,3768.342131
-83.304768,207,3772.681023
-146.595329,223,3777.388427
84.386146,118,3779.909295
-78.636345,251,3785.297571
-92.707307,274,3794.444947
-40.624191,224,3799.685844
-43.094173,214,3804.286499
-80.317095,193,3808.447392
-90.620439,305,3815.294946
-32.712646,220,3821.194214
-57.534798,240,3826.322457
-70.876996,240,3831.624773
-90.147553,225,3836.338456
-196.543038,254,3841.661171
-80.31576,226,3846.391455
-121.372747,273,3852.973357
-66.309986,236,3858.100757
-62.959544,232,3862.950967
-10.85799,198,3867.137118
-122.878561,274,3872.872684
-200.010921,254,3878.653994
-17.216523,219,3883.271128
8.226257,186,3887.268227
-6.34712,188,3891.44057
-11.154527,226,3900.0774
-40.809534,220,3904.888893
-95.21677,267,3910.922734
-54.190235,239,3916.460002
